PC1,PC2,Cluster
2.230924804388928,-0.9226758046607638,1
0.9348833924168596,2.6225797426554074,0
0.6456279480445455,0.6297352362686773,0
-3.314309541297676,-0.5047142475715147,2
-3.6844461803115935,-1.0829995390205558,2
3.799699769021664,2.9643563084735765,0
0.0951139040343262,2.2056467999946934,0
0.3388685029990711,2.0745153919798884,0
-3.140165714269166,-0.3199395597550811,2
-2.975424458769312,-0.7659602094553406,2
-3.230519928156305,3.07129163279993,2
-4.256410846162319,2.098514550879458,2
-3.1520978470930374,0.9116814709741072,2
-0.7075511016357067,3.519836248996756,0
0.3252439128809027,-1.1331382962495795,1
-3.266354973374563,0.907061425865466,2
-2.9895823525011367,-0.8252655349975815,2
-2.594337524778717,3.119293796656499,2
0.0307030841513692,1.7266049741251492,0
2.0942940980267406,2.6363719329466937,0
-2.871609403461327,-1.1729126727368728,2
-0.1948471177448382,3.161499121980246,0
-0.147000237513097,-2.7264988706817763,1
-4.2439815103494345,2.0991262994051465,2
-3.484937432383814,-0.1570597514132081,2
1.4087837085459567,-0.5744123499291858,1
1.5899466288552735,1.5524928826391156,0
0.8853646935520154,2.802375063936229,0
3.126837898981013,0.3278276346797933,0
0.6882943747847131,-1.6482960692460866,1
-2.8951348157691057,-1.2053344638011143,2
1.7059854645668056,-2.224924219741548,1
1.7922138280809816,1.0169886713092426,0
1.5149522094579535,1.9563970958655692,0
1.3834102040750844,3.047839204598832,0
-1.6947943278662168,3.019738176856859,2
1.2429636059789968,1.6768228152517637,0
2.279102509232984,-1.1139034656224325,1
2.720616914757126,-0.7823954048269635,1
2.1210537603968627,-0.24565291231513,0
-0.2048430239734248,0.1012784678118206,1
1.882213234836584,2.3507440982015364,0
2.639818516961478,1.060434350523256,0
3.416066152739641,0.1303464161860994,0
2.384265940885553,0.6904522579510153,0
1.6715951346464175,1.0042383343803225,0
-2.880407239357135,-1.1243311879365778,2
-4.4141876848035455,1.8138120320789444,2
2.9142325470563497,1.2556315888989502,0
1.640602925085503,0.1070282230712641,0
1.749483400492517,4.791720748950159,0
0.3907096193575827,-1.0579508238570086,1
-2.656922109983754,3.4241869195033003,2
-3.976368209828314,1.0599837514487849,2
2.9114716063578,1.9168335367103089,0
-2.882253214491924,-0.7435386254286118,2
-0.1015523699234265,-1.1492727977548944,1
-0.034282474042638,1.1009768871960206,0
0.9596497369337176,2.85174210242759,0
4.202615691611996,0.7357737741407157,0
-3.429189275200082,0.1122493342805073,2
-0.773788860990217,-0.6372701987589613,1
1.6347198252603616,-1.949146269427222,1
3.5314633667608826,0.8852578994873653,0
-3.1180155633864177,-0.8107528545819981,2
-3.754434343660319,-0.7797633411405831,2
3.7454395967618495,0.8104248999480584,0
3.2286357961370333,0.8539953562504885,0
-4.200036365587908,1.4238924160062512,2
4.235001777510078,1.2331371743923576,0
-2.178822417426702,3.0168118131945003,2
2.953316604382433,0.0789687514473801,0
1.3888574948893866,3.3401631222066985,0
-3.976387525697019,2.189112529140656,2
4.615818371165851,1.736859975674076,0
0.1145202873876775,0.8703973906177259,0
0.9363602107649868,2.668595817005979,0
-2.770475377505293,4.033233786819792,2
-3.402923872257862,0.1800798997280816,2
-4.285859357228327,1.0024321853066194,2
1.628334044583676,-1.6368988715273791,1
1.4638341913932262,1.2563789431908037,0
1.8185466175872809,1.0627379527580731,0
3.485328498571452,4.432659148265808,0
1.802690702115516,-0.1748509018745267,0
2.957685341800948,0.7248388679699744,0
1.7144623249180029,-1.0824282396218086,1
1.8028627846962744,-2.158890862748774,1
1.5386581284625724,0.1224784640910025,0
4.673044682645492,2.754509693160881,0
-3.3306876551536897,0.225118397341504,2
1.551859667489211,3.771958262859712,0
2.162369703616523,-1.7667543466068931,1
4.247566994684035,2.4880092787776973,0
-2.08440641222234,3.024262823171197,2
0.7630299894750401,3.080226429387132,0
3.5428955975491982,1.6056599003411047,0
2.410360727140664,-0.005210101544297,0
-3.752886816307591,0.1112663209961815,2
-3.276177809413746,-2.6219186963999754,2
2.848417510885993,-0.94107767763816,1
0.6804562155344621,0.7214421345400496,0
-2.37729566974317,4.70221621005607,2
2.480764209084724,1.9943777247262464,0
-3.601350799247745,-0.5067604480259565,2
2.633358188428784,0.1201233808727838,0
3.373983624580092,2.3955615517726816,0
-3.275445681829281,-0.7438105610188493,2
-3.0805193475168497,3.5180541994757606,2
-1.692449141282773,1.5132981696536325,2
